id_comentario,id_cliente,id_producto,calificacion,texto_comentario,fecha_comentario
40,20,1,5,"Impecable, no he tenido ningún problema con la laptop. El teclado es cómodo para escribir y los altavoces suenan muy bien. Un producto bien construido en todos los aspectos. La pantalla tiene una excelente reproducción de color, ideal para mi trabajo.","2024-06-28"
41,1,3,5,"Simplemente geniales, el sonido es perfecto para mí. Los bajos son profundos y los agudos cristalinos. Los uso para todo, desde música hasta videollamadas. La batería dura mucho, puedo usarlos por varios días sin preocuparme por la carga. La comodidad es excelente.","2024-06-29"
42,2,5,4,"Me gustaron, son cómodas para caminar largos tramos. El diseño es elegante y combinan con todo. La suela ofrece un buen agarre en diferentes superficies. Son ligeras y se sienten bien en los pies.","2024-06-30"
43,3,7,4,"Las ollas son buenas, pero la tapa se calienta demasiado y es necesario usar guantes para manipularlas. Deberían haber diseñado las asas de una forma que no conduzcan tanto el calor. Por lo demás, la calidad de cocción es excelente.","2024-07-01"
44,4,9,5,"Muy resistente, la mochila es perfecta para viajar. La he usado en la lluvia y el material repelente al agua funcionó de maravilla. El espacio interno es muy amplio y me permite llevar todo lo que necesito. Las correas son muy cómodas.","2024-07-02"
45,5,1,5,"La laptop es una bestia, rinde muy bien con juegos pesados y con software de edición de video. No he tenido ningún problema de sobrecalentamiento gracias al sistema de enfriamiento. La pantalla de alta tasa de refresco hace una gran diferencia en la fluidez.","2024-07-03"
46,6,3,4,"Buen sonido, pero el micrófono no es tan claro en las llamadas. Las personas me dicen que mi voz suena un poco apagada. Aún así, para escuchar música son excelentes. La batería dura mucho y la conexión Bluetooth es muy estable.","2024-07-04"
47,7,5,3,"Las zapatillas no son muy bonitas y la calidad del material no se siente premium. Son funcionales para el gimnasio, pero no para un uso casual. La suela es muy fina y no ofrece mucho soporte. No las volvería a comprar.","2024-07-05"
48,8,7,5,"Gran calidad y diseño, las ollas se ven muy elegantes. El acabado es impecable y la distribución del calor es perfecta. Es un set que durará por muchos años. Estoy muy contenta con la compra y las recomiendo a todos.","2024-07-06"
49,9,1,4,"La batería dura poco, pero por el precio está bien. La laptop es muy potente y cumple con todas mis necesidades, pero debo llevar el cargador a todos lados. Es muy ligera y el rendimiento es increíble.","2024-07-07"
50,10,2,5,"El mejor teléfono que he tenido, la pantalla es una maravilla. Los colores son vibrantes y los negros son profundos. La cámara es increíble, saca fotos muy nítidas. La interfaz de usuario es intuitiva y el rendimiento es muy rápido.","2024-07-08"
51,11,4,3,"Se encogió un poco después de la primera lavada, a pesar de seguir las instrucciones. Ya no me queda bien, lo cual es una lástima. El material es suave, pero la calidad del tejido no es la mejor. Esperaba más por el precio.","2024-07-09"
52,12,6,4,"Me gustó la historia, pero el ritmo es un poco lento. La trama avanza muy lentamente y me costó mantener el interés. El final, sin embargo, es gratificante y los personajes son entrañables. Es una lectura entretenida.","2024-07-10"
53,13,8,5,"Excelente balón, la textura es muy buena y el control que tengo sobre él es superior. Es perfecto para practicar pases y tiros. Lo recomiendo a cualquier jugador serio. La durabilidad es increíble, no se ha desgastado.","2024-07-11"
54,14,10,5,"La cámara graba con una calidad asombrosa. Me ha permitido capturar mis aventuras en una resolución increíble. Es fácil de usar y la pantalla táctil es muy sensible. La batería dura mucho, lo cual es genial.","2024-07-12"
55,15,1,5,"La laptop es un monstruo de rendimiento. Es capaz de manejar cualquier software de diseño y renderizado sin problemas. La pantalla de alta tasa de refresco hace una gran diferencia. El sistema de enfriamiento es muy eficiente.","2024-07-13"
56,16,3,4,"El sonido es nítido, pero son un poco pesados. Los auriculares me aprietan un poco después de un par de horas de uso. Deberían haber sido más ligeros para la comodidad. La calidad de audio es excelente, pero la comodidad no es la mejor.","2024-07-14"
57,17,5,4,"Cómodos y duraderos para el uso diario. Son lo suficientemente versátiles para ir al gimnasio o para salir. La suela es resistente y no se desgasta fácilmente. Son un buen calzado para el día a día, aunque no son los más elegantes.","2024-07-15"
58,18,7,5,"Muy contenta, las ollas son de una calidad superior. El set incluye todos los tamaños que necesito y son perfectas para cualquier tipo de cocción. El acabado es impecable y se ven muy duraderas.","2024-07-16"
59,19,9,5,"La mochila es perfecta para el trabajo y los viajes cortos. Cabe mi laptop, mis documentos y algunas cosas más sin problemas. El diseño es muy elegante y el material es resistente. Las correas son muy cómodas y ajustables.","2024-07-17"
60,20,1,5,"La laptop es increíblemente rápida y fluida. La uso para trabajar y para jugar, y en ambos casos el rendimiento es impecable. El teclado es muy cómodo y la pantalla es de alta resolución.","2024-07-18"
61,1,4,4,"Es una camiseta muy ligera y fresca, perfecta para el verano. La tela es suave y se siente muy bien en la piel. Me gusta que no se arruga fácilmente. El color no se desvanece con los lavados.","2024-07-19"
62,2,6,3,"No me enganchó la historia, el estilo de escritura no es para mí. La trama es confusa y me costó mucho seguir el hilo. No la recomendaría a un amigo. El final es decepcionante.","2024-07-20"
63,3,8,4,"Buen balón, pero el diseño no es tan atractivo como en la foto. Aun así, el rendimiento es muy bueno y la durabilidad parece ser alta. La válvula no pierde aire y el agarre es muy bueno.","2024-07-21"
64,4,10,5,"La cámara es muy fácil de usar, incluso para principiantes. La calidad de video y fotos es excelente, perfecta para mis viajes. La batería dura mucho, lo cual es genial. La conexión WiFi es muy rápida.","2024-07-22"
65,5,2,5,"Me encanta el Smartphone Nexus. Todo funciona perfectamente y la pantalla es de una calidad impresionante. Es un teléfono que recomendaría a cualquier persona que busque un dispositivo premium. La cámara es increíble.","2024-07-23"
66,6,4,5,"La mejor camiseta para hacer deporte. No retiene el sudor y se seca muy rápido. La uso en el gimnasio y es perfecta para mis entrenamientos intensos. El material es muy suave y resistente.","2024-07-24"
67,7,6,4,"Una lectura entretenida. El libro me mantuvo interesado, aunque no es la mejor novela de ficción que he leído. Es un buen pasatiempo si buscas algo ligero y fácil de leer. La trama es interesante.","2024-07-25"
68,8,8,5,"La mejor inversión para mis entrenamientos. Este balón tiene un gran agarre y se siente muy bien. La durabilidad es increíble, no ha perdido su forma ni su rebote. Lo recomiendo para cualquier jugador.","2024-07-26"
69,9,10,3,"La cámara se calienta mucho cuando la uso para grabar videos largos. A veces se apaga sola, lo cual es frustrante. La calidad de imagen es buena, pero el sobrecalentamiento es un problema grave. El soporte técnico no fue de ayuda.","2024-07-27"
70,10,1,5,"El rendimiento de esta laptop es sobresaliente. No se queda corta con nada, y puedo ejecutar múltiples programas pesados al mismo tiempo sin problemas. La pantalla de alta resolución y el teclado cómodo son un gran plus.","2024-07-28"
71,11,2,5,"El teléfono es lo máximo. La cámara es una maravilla, saca fotos muy nítidas y la pantalla es increíble. La batería dura todo el día y la carga es muy rápida. Es el mejor teléfono que he tenido.","2024-07-29"
72,12,4,4,"Un buen básico para el armario. La camiseta cumple con lo que promete: es cómoda, el color no se desvanece y la talla es la adecuada. Ideal para el uso diario. El material es de buena calidad.","2024-07-30"
73,13,6,4,"Es un libro muy interesante, pero el final me dejó un poco insatisfecho. Los personajes son fuertes, pero el desenlace pudo ser mejor. Aun así, la trama es original y el estilo de escritura es bueno.","2024-07-31"
74,14,8,5,"El balón es muy ligero y fácil de controlar, ideal para practicar mis habilidades. La superficie texturizada me da un gran control del balón en cualquier condición climática. La durabilidad es excelente.","2024-08-01"
75,15,10,4,"Buena cámara, pero el micrófono integrado no es muy bueno. El audio se escucha muy bajo y con ruido de fondo, así que necesito un micrófono externo para mis videos. La calidad de video es excelente.","2024-08-02"
76,16,2,5,"El Smartphone Nexus es muy rápido y fluido. Lo recomiendo a todos mis amigos que buscan un buen teléfono a un precio razonable. La experiencia de usuario es muy buena y la cámara es increíble.","2024-08-03"
77,17,4,5,"La mejor camiseta que he comprado en mucho tiempo. Es perfecta para el deporte y el material de alta calidad la hace muy duradera. No se ha estirado ni deformado con los lavados. El color es vibrante.","2024-08-04"
78,18,6,3,"Un poco lento el desarrollo de la trama. Me costó terminar de leer el libro, ya que los acontecimientos importantes suceden muy tarde. La escritura es buena, pero la historia no me enganchó.","2024-08-05"
79,19,8,5,"Perfecto para jugar en el parque con mis amigos. El balón tiene una excelente durabilidad y el rebote es muy predecible. Lo recomiendo para cualquier tipo de juego informal. El agarre es muy bueno.","2024-08-06"
80,20,10,5,"La cámara de acción es increíble, muy resistente. Ha sobrevivido a varias caídas y golpes sin un rasguño. La calidad del video es genial y la estabilización funciona muy bien. La batería dura mucho.","2024-08-07"
81,1,5,4,"Cómodos y elegantes, los uso para ir a la oficina. Son lo suficientemente formales para mi trabajo y muy confortables. La suela de espuma de memoria es muy suave. Son versátiles.","2024-08-08"
82,2,7,5,"Las ollas son de gran calidad, nada se pega. El fondo distribuye el calor de forma muy uniforme y la limpieza es un proceso muy sencillo. Es una compra que vale la pena. El diseño es muy elegante.","2024-08-09"
83,3,9,4,"La mochila tiene el tamaño ideal para llevar lo necesario al trabajo. El compartimento para el portátil es muy seguro y el puerto USB es una característica que uso a diario. Las correas son muy cómodas.","2024-08-10"
84,4,1,5,"Esta laptop es la mejor inversión que he hecho en mi vida. Su rendimiento es excepcional y me ha ayudado a mejorar mi productividad enormemente. Es un producto premium en todos los aspectos.","2024-08-11"
85,5,3,5,"El sonido es perfecto. Uso los auriculares para escuchar música mientras me ejercito y la calidad de audio es impresionante, incluso con los bajos. La conexión es estable y no se interrumpe.","2024-08-12"
86,6,5,3,"No me duraron mucho tiempo. La suela se desgastó muy rápido después de solo unos meses de uso. No creo que el precio justifique la calidad del producto. Me arrepiento de la compra.","2024-08-13"
87,7,7,4,"Son buenas ollas, pero el precio es un poco alto para la calidad. Hay otras opciones en el mercado con características similares por menos dinero. Hacen su trabajo, pero no son excepcionales.","2024-08-14"
88,8,9,5,"La mochila es muy práctica y bien pensada. Tiene un diseño minimalista pero con muchos compartimentos útiles y bien distribuidos. Es muy cómoda de llevar incluso con mucho peso.","2024-08-15"
89,9,1,4,"La laptop es muy rápida para navegar y trabajar. La pantalla es muy nítida y el teclado es cómodo. El único inconveniente es la batería que dura poco, lo cual es una lástima. Es muy ligera.","2024-08-16"
90,10,3,5,"Estos auriculares son de alta calidad. El sonido es muy claro y no he tenido problemas de conexión. La batería también dura mucho tiempo, lo que me permite usarlos durante varios días sin recargar.","2024-08-17"
91,11,5,5,"Súper cómodos, los recomiendo mucho. Son perfectos para el día a día, ya sea para ir a comprar o para un paseo largo. El diseño es muy elegante y versátil. Se adaptan muy bien a mis pies.","2024-08-18"
92,12,7,4,"Las ollas son buenas, pero la tapa se calienta demasiado rápido al cocinar a fuego alto, lo que puede ser un problema si no se tiene cuidado. Deberían haberle puesto un material aislante.","2024-08-19"
93,13,9,5,"Me encanta el diseño de la mochila, es minimalista y muy útil. Es perfecta para llevar mi laptop a la universidad y el puerto de carga es una característica muy útil. Las correas son muy cómodas.","2024-08-20"
94,14,1,5,"Esta laptop es una maravilla. El rendimiento es top, la pantalla es increíblemente nítida y el teclado es muy cómodo para escribir. No me arrepiento de la compra. La batería es decente.","2024-08-21"
95,15,3,4,"El sonido es bueno, pero se desconectan de mi teléfono a veces, lo cual es un poco frustrante cuando estoy en medio de una llamada importante. La calidad de audio es buena, pero la conectividad es deficiente.","2024-08-22"
96,16,5,3,"Estas zapatillas no valen lo que cuestan. La calidad del material es regular y no ofrecen mucho soporte para el pie. No las volvería a comprar ni las recomendaría. La suela se desgasta muy rápido.","2024-08-23"
97,17,7,5,"Este set de ollas es excelente. Son muy resistentes y han aguantado un uso intensivo sin rayarse ni dañarse. Totalmente recomendadas para cualquier persona que cocine a menudo. El diseño es muy bonito.","2024-08-24"
98,18,9,4,"La mochila es muy espaciosa y funcional. El diseño es simple pero efectivo, y cabe todo lo que necesito para mis viajes cortos. Las correas son cómodas y ajustables. El material es resistente al agua.","2024-08-25"
99,19,1,5,"Una laptop increíble, la compraría de nuevo sin dudarlo. Es muy rápida y el diseño es muy elegante. Cumple con todas mis expectativas y más. Es un producto de alta gama.","2024-08-26"
100,20,3,5,"El sonido y la comodidad de los auriculares son insuperables. Los uso durante horas para trabajar y no me cansan. Una excelente compra, valen cada centavo. La cancelación de ruido es perfecta.","2024-08-27"
101,1,2,5,"El Smartphone Nexus es una joya. La pantalla tiene unos colores tan vivos que ver videos es un placer. La cámara frontal también es fantástica para selfies. Me encanta el diseño delgado y ligero.","2024-08-28"
102,2,4,4,"La camiseta se siente muy bien, el material es ligero y transpirable, pero un poco ajustada en la parte del pecho. A pesar de eso, es perfecta para el ejercicio.","2024-08-29"
103,3,1,5,"La Laptop Gamer Pro es simplemente la mejor. El rendimiento es bestial, los juegos corren a la perfección y la pantalla es de una calidad impresionante. Es una inversión que vale la pena.","2024-08-30"
104,4,5,3,"Las zapatillas son bonitas pero no muy cómodas para caminar. Se sienten un poco duras en la parte de la suela. Las uso solo para salidas cortas ahora.","2024-08-31"
105,5,3,4,"Los auriculares tienen un sonido muy bueno, pero la batería no dura tanto como prometen. La cancelación de ruido es decente, pero no la mejor en su clase. El diseño es muy elegante.","2024-09-01"
106,6,6,5,"'El Círculo Mágico' es una novela fantástica. La trama es intrigante y los personajes son muy complejos. No pude dejar de leer. La recomiendo a todos los amantes de la fantasía.","2024-09-02"
107,7,7,5,"Estas ollas son de una calidad superior. La comida se cocina de manera uniforme y son muy fáciles de limpiar. El acabado de acero inoxidable es muy duradero y se ven muy bien en la cocina.","2024-09-03"
108,8,8,5,"El balón tiene un agarre excelente, perfecto para mis partidos de fin de semana. La durabilidad es top, ha resistido muchos golpes sin mostrar signos de desgaste.","2024-09-04"
109,9,9,4,"La mochila es funcional, pero el material se siente un poco delgado. Es buena para el uso diario, pero no la usaría para viajes largos. El puerto USB es muy práctico.","2024-09-05"
110,10,10,5,"La Cámara de Acción 4K es perfecta para mis aventuras. La calidad de video es increíble y la estabilización de imagen funciona de maravilla. La batería dura mucho tiempo, lo cual es genial.","2024-09-06"
111,11,1,4,"La laptop es muy potente, pero la batería se agota muy rápido. Tengo que llevar el cargador a todos lados, lo que limita su portabilidad. Por lo demás, el rendimiento es increíble.","2024-09-07"
112,12,2,3,"El teléfono es rápido, pero la cámara en baja luz no me convence. Las fotos salen un poco ruidosas. La pantalla y el rendimiento son buenos, pero esperaba más de la cámara.","2024-09-08"
113,13,3,5,"Los auriculares son espectaculares. El sonido es de alta fidelidad y la comodidad es insuperable. Los recomiendo a cualquiera que ame la música.","2024-09-09"
114,14,4,5,"La camiseta es muy cómoda, el material es suave y se ajusta perfectamente. La uso para hacer ejercicio y es muy fresca. No retiene el sudor.","2024-09-10"
115,15,5,2,"Estas zapatillas son muy duras e incómodas. Me causan dolor en los pies después de usarlas por un tiempo. Me arrepiento de la compra, no valen lo que cuestan.","2024-09-11"
116,16,6,4,"Una lectura interesante, pero el final es un poco predecible. La historia es entretenida y los personajes son simpáticos. Es un buen libro para pasar el rato.","2024-09-12"
117,17,7,5,"Las ollas son de muy buena calidad. Se limpian fácilmente y la comida no se pega. El diseño es muy elegante y se ven muy bien en la cocina. Una excelente inversión.","2024-09-13"
118,18,8,4,"Buen balón, pero el diseño se desgastó rápido. La durabilidad del material es buena, pero los colores se desvanecen con el sol. El agarre y el rebote son buenos.","2024-09-14"
119,19,9,3,"La mochila es funcional, pero la calidad de los cierres es mala. Uno se rompió a las pocas semanas. El material es delgado y no parece muy duradero.","2024-09-15"
120,20,10,4,"Buena cámara, pero la aplicación para el móvil es lenta y a veces se bloquea. La calidad de video es excelente, pero la usabilidad podría ser mejor. La batería es buena.","2024-09-16"
121,1,1,5,"Impresionante, la mejor laptop que he comprado en años. El rendimiento es increíble, ideal para mis proyectos de diseño. La pantalla tiene una resolución fantástica.","2024-09-17"
122,2,3,4,"El sonido es claro, muy contento con la compra. Los auriculares son cómodos y la batería dura mucho. La conexión Bluetooth es muy estable.","2024-09-18"
123,3,5,2,"No son muy cómodas, me arrepiento de la compra. La suela es muy dura y me duelen los pies al caminar. El material se siente barato.","2024-09-19"
124,4,7,5,"Las ollas llegaron en perfecto estado, el tamaño es ideal. La comida se cocina muy bien, no se pega nada. Son muy fáciles de limpiar y tienen un diseño moderno.","2024-09-20"
125,5,9,3,"Es una mochila regular, esperaba algo más por el precio. No tiene mucho espacio y las correas se sienten un poco débiles. El material es delgado.","2024-09-21"
126,6,2,4,"El teléfono es bueno, pero la batería se agota rápido. La pantalla es fantástica y el rendimiento es fluido. La cámara es decente.","2024-09-22"
127,7,4,5,"La camiseta es perfecta, muy ligera para hacer ejercicio. El material es transpirable y se seca rápidamente. No se deforma con las lavadas.","2024-09-23"
128,8,6,3,"Me decepcionó un poco, la historia es confusa. Me costó mucho seguir el hilo de la trama. No la recomendaría a un amigo.","2024-09-24"
129,9,8,5,"El mejor balón que he tenido, gran control. El agarre es fantástico y la durabilidad es increíble. Es perfecto para entrenar.","2024-09-25"
130,10,1,5,"La laptop superó mis expectativas, es muy potente. La pantalla es de alta resolución y el teclado es muy cómodo. El sistema de enfriamiento es excelente.","2024-09-26"
131,11,3,4,"Buen producto, el sonido es de alta fidelidad. Los auriculares son cómodos y la batería dura mucho. La cancelación de ruido es buena en la oficina.","2024-09-27"
132,12,5,3,"Las zapatillas me quedaron grandes, tuve que devolverlas. El material se siente un poco barato y no muy duradero. No las volvería a comprar.","2024-09-28"
133,13,7,5,"Excelente set de ollas, muy buena inversión. La calidad es superior y la comida se cocina uniformemente. Son muy fáciles de limpiar.","2024-09-29"
134,14,9,4,"Muy útil para la universidad, cabe todo lo que necesito. El compartimento para el portátil es seguro y el puerto USB es una gran ventaja.","2024-09-30"
135,15,2,5,"El teléfono es muy rápido y la pantalla se ve increíble. La cámara es fantástica para fotos y videos. El rendimiento es muy fluido.","2024-10-01"
