id_comentario,id_cliente,id_producto,calificacion,texto_comentario,fecha_comentario,texto_preprocesado,sentimiento,score
17,17,7,5,"Estas ollas han transformado mi cocina. La base antiadherente funciona de maravilla y el calor se distribuye de forma tan uniforme que mis comidas quedan perfectas. Se lavan en segundos, lo cual es muy conveniente. Son una inversión que vale la pena para cualquier cocinero aficionado.",2024-06-05,olla transformar cocina base antiadherente funcionar maravilla calor distribuir forma uniforme comida quedar perfecto lavar segundo conveniente inversión valer pena cocinero aficionado,5 stars,0.613028883934021
18,18,8,4,"Buen balón, la costura es muy resistente y el material exterior parece duradero, pero el diseño estampado se empezó a desgastar a las pocas semanas de uso. Cumple su función en el campo, que es lo más importante. Se siente muy bien al tacto.",2024-06-06,balón costura resistente material exterior duradero diseño estampado empezar desgastar semana cumplir función campo importante sentir tacto,4 stars,0.3914853036403656
19,19,9,3,"La mochila es funcional para llevar mis cosas al trabajo, pero los cierres se sienten débiles y la tela es bastante delgada. No parece que vaya a durar mucho tiempo. El puerto USB es un buen detalle, pero la calidad general es regular, esperaba más por el precio.",2024-06-07,mochilo funcional cosa trabajo cierre sentir débil tela delgado durar tiempo puerto usb detalle calidad general regular esperar precio,3 stars,0.4115038216114044
20,20,10,4,"La cámara de acción tiene una gran calidad de imagen, pero la aplicación móvil para transferir videos es frustrantemente lenta y a veces se desconecta sin motivo. Por lo demás, la cámara en sí es muy robusta y fácil de usar. La calidad de video 4K es impresionante.",2024-06-08,cámara acción calidad imagen aplicación móvil transferir video frustrantemente lento desconectar motivo cámara robusta fácil calidad video impresionante,4 stars,0.3680141866207123
21,1,1,5,"Mi mejor compra tecnológica del año. La Laptop Gamer Pro es increíblemente rápida, abre programas en segundos y su pantalla es ideal para mis necesidades de diseño gráfico y gaming. El teclado es muy sensible y el trackpad es preciso. El diseño minimalista es un plus.",2024-06-09,compra tecnológico año laptop gamer pro increíblemente rápido abrir programa segundo pantalla ideal necesidad diseño gráfico gaming teclado sensible trackpad preciso diseño minimalista plus,5 stars,0.6219419240951538
22,2,3,4,"El sonido de estos auriculares es nítido y los bajos se sienten potentes. El diseño es ergonómico y me gusta que no se caen al correr. La batería dura mucho, por lo que no me preocupo por cargarlos a diario. La conectividad es muy estable.",2024-06-10,sonido auricular nítido bajo sentir potente diseño ergonómico gustar caer correr batería duro preocaber cargar él diario conectividad estable,3 stars,0.40022289752960205
23,3,5,2,"La suela de las zapatillas se desgastó en menos de un mes. No son de la calidad que prometen y no vale la pena el precio. Se sienten muy endebles y el soporte es casi nulo. Me arrepiento de la compra, no las recomiendo para un uso regular.",2024-06-11,suela zapatilla desgastar mes calidad prometer valer pena precio sentir endeble soporte nulo arrepientir compra recomeir regular,1 star,0.4426061809062958
24,4,7,5,"Las ollas llegaron en perfecto estado. El tamaño es ideal para mi familia y son muy fáciles de limpiar. El diseño es hermoso y le da un toque moderno a mi cocina. La distribución del calor es fantástica, cocino de manera más uniforme ahora.",2024-06-12,olla llegar perfecto tamaño ideal familia fácil limpiar diseño hermoso toque moderno cocina distribución calor fantástico cocino uniforme,5 stars,0.8075056076049805
25,5,9,3,"Es una mochila regular, esperaba algo más por el precio. No tiene muchos bolsillos internos y no se siente tan resistente como otras que he tenido. Es útil, pero no para un uso intensivo. El material es demasiado delgado para mi gusto.",2024-06-13,mochila regular esperar precio bolsillo interno sentir resistente útil intensivo material delgado gusto,3 stars,0.47204023599624634
26,6,2,4,"El Smartphone Nexus es bueno en general. Sin embargo, la batería se agota rápidamente con un uso intensivo, especialmente al usar aplicaciones de streaming o juegos. La carga rápida ayuda, pero me gustaría más autonomía. La pantalla y el rendimiento son de primera.",2024-06-14,smartphonir nexus general batería agotar rápidamente intensivo especialmente aplicación streaming juego carga rápido ayuda gustar autonomía pantalla rendimiento,4 stars,0.4403479993343353
27,7,4,5,"La camiseta es increíblemente ligera y fresca. Perfecta para el calor del verano. El material absorbe el sudor de maravilla y no se pega al cuerpo. Me encanta el color vibrante, y no se deslava con las lavadas. Es mi camiseta favorita para el gimnasio.",2024-06-15,camiseta increíblemente ligero fresco perfecto calor verano material absorber sudor maravilla pegar cuerpo encantar color vibrante deslair lavada camiseta favorito gimnasio,5 stars,0.8191720843315125
28,8,6,3,"'El Círculo Mágico' me decepcionó. La trama es confusa y los diálogos a veces se sienten poco naturales. Me costó mucho terminar el libro y no me sentí conectado con los personajes. No cumplió con mis expectativas, esperaba una narrativa más fluida.",2024-06-16,círculo mágico decepcionar trama confuso diálogo sentir natural costar terminar libro sentir conectado personaje cumplir expectativa esperar narrativa fluido,1 star,0.49031585454940796
29,9,8,5,"El balón de fútbol tiene un gran control y una superficie que facilita el toque. Es el mejor que he tenido para entrenar. La durabilidad es top, ha aguantado muchos partidos en césped sintético sin perder su forma. El agarre es fantástico.",2024-06-17,balón fútbol control superficie facilitar toque entrenar durabilidad top aguantar partido césped sintético perder forma agarre fantástico,5 stars,0.5748592019081116
30,10,1,5,"La Laptop Gamer Pro superó todas mis expectativas. Es una máquina muy potente que maneja cualquier tarea sin esfuerzo. El sistema de ventilación es silencioso y eficiente, lo que es crucial para largas sesiones de juego. El teclado es muy sensible y el trackpad es preciso.",2024-06-18,laptop gamer pro superar expectativa máquina potente manejar tarea esfuerzo sistema ventilación silencioso eficiente crucial larga sesión juego teclado sensible trackpad preciso,4 stars,0.4499310553073883
31,11,3,4,"El sonido de los auriculares es de alta fidelidad, con bajos profundos y agudos claros. Son un poco pesados, pero el audio compensa. La cancelación de ruido es decente, pero podría ser mejor en entornos muy ruidosos. La conexión Bluetooth es muy estable.",2024-06-19,sonido auricular alto fidelidad bajo profundo agudo claro pesado audio compensar cancelación ruido decente entorno ruidoso conexión bluetooth estable,2 stars,0.4148634672164917
32,12,5,3,Las zapatillas me quedaron grandes a pesar de pedir mi talla habitual. La calidad de los materiales no es tan premium como el precio sugeriría. No las recomiendo si buscas un calzado duradero o con mucho soporte. La suela se siente muy delgada.,2024-06-20,zapatilla quedar pedir talla habitual calidad material premium precio sugeriría recomeir buscar calzado duradero soporte suela sentir delgado,3 stars,0.4029504656791687
33,13,7,5,Este set de ollas es de muy alta calidad. Son robustas y la conducción de calor es excelente. Definitivamente una compra que vale la pena. Las tapas de vidrio son muy útiles para ver la comida mientras se cocina sin tener que levantar la tapa.,2024-06-21,set olla alto calidad robusto conducción calor excelente definitivamente compra valer pena tapa vidrio útil comida cocinar levantar tapa,5 stars,0.7002142667770386
34,14,9,4,La mochila es muy útil para la universidad. El compartimento para la laptop está muy bien acolchado y el diseño es simple y funcional. Me gusta que sea repelente al agua. El puerto de carga USB es un gran detalle que uso a diario.,2024-06-22,mochila útil universidad compartimento laptop acolchado diseño simple funcional gustar repelente agua puerto carga usb detalle diario,4 stars,0.4634905457496643
35,15,2,5,"El Smartphone Nexus es muy rápido y la pantalla se ve increíble. El software es fluido y no tiene bloatware. La cámara de 108MP es simplemente fantástica. La interfaz de usuario es intuitiva y fácil de usar, lo que hace la experiencia muy agradable.",2024-06-23,smartphonir nexus rápido pantalla ver increíble software fluido bloatware cámara simplemente fantástico interfaz usuario intuitivo fácil experiencia agradable,5 stars,0.704276442527771
36,16,4,4,"Un poco ajustada, pero el material es de gran calidad. Es suave al tacto y se siente duradera. Me gusta el color vibrante, es perfecto para mis sesiones de running. El tejido es transpirable y evita el sudor.",2024-06-24,ajustado material calidad suave tacto sentir duradero gustar color vibrante perfecto sesión running tejido transpirable evitar sudor,5 stars,0.5025807023048401
37,17,6,5,Una de las mejores novelas que he leído. La trama es adictiva y los giros inesperados me mantuvieron al borde del asiento. Totalmente recomendable para cualquier fan de la fantasía. La construcción del mundo es excepcional y los personajes son memorables.,2024-06-25,mejor novela leer trama adictivo giro inesperado mantener borde asiento totalmente recomendable fan fantasía construcción mundo excepcional personaje memorable,5 stars,0.8132573962211609
38,18,8,4,"Buen balón, la costura es resistente y el rebote es consistente. El color se desvaneció un poco con el sol, pero eso es un detalle menor. Cumple su función perfectamente, es ideal para un uso regular. El agarre es muy bueno.",2024-06-26,balón costura resistente rebote consistente color desvaneceír sol detalle menor cumplir función perfectamente ideal regular agarre,4 stars,0.4906802773475647
39,19,10,3,"La cámara es buena para videos, pero la conexión con el móvil es muy inestable. Se desconecta constantemente, lo que arruina la experiencia de usuario. La calidad de imagen es decente, pero la usabilidad es mala. El soporte técnico tampoco fue de ayuda.",2024-06-27,cámara video conexión móvil inestable desconectar constantemente arruinar experiencia usuario calidad imagen decente usabilidad malo soporte técnico ayuda,2 stars,0.47458410263061523
40,20,1,5,"Impecable, no he tenido ningún problema con la laptop. El teclado es cómodo para escribir y los altavoces suenan muy bien. Un producto bien construido en todos los aspectos. La pantalla tiene una excelente reproducción de color, ideal para mi trabajo.",2024-06-28,impecable problema laptop teclado cómodo escribir altavoz sonar producto construido aspecto pantalla excelente reproducción color ideal trabajo,5 stars,0.3950254023075104
41,1,3,5,"Simplemente geniales, el sonido es perfecto para mí. Los bajos son profundos y los agudos cristalinos. Los uso para todo, desde música hasta videollamadas. La batería dura mucho, puedo usarlos por varios días sin preocuparme por la carga. La comodidad es excelente.",2024-06-29,simplemente genial sonido perfecto bajo profundo agudo cristalino música videollamada batería duro usar él preocupar yo carga comodidad excelente,5 stars,0.8779371976852417
42,2,5,4,"Me gustaron, son cómodas para caminar largos tramos. El diseño es elegante y combinan con todo. La suela ofrece un buen agarre en diferentes superficies. Son ligeras y se sienten bien en los pies.",2024-06-30,gustar cómodas caminar largo tramo diseño elegante combinar suela ofrecer agarre superficie ligero sentir pie,4 stars,0.5116743445396423
43,3,7,4,"Las ollas son buenas, pero la tapa se calienta demasiado y es necesario usar guantes para manipularlas. Deberían haber diseñado las asas de una forma que no conduzcan tanto el calor. Por lo demás, la calidad de cocción es excelente.",2024-07-01,olla tapa calentar necesario guant manipular él deber diseñar asa forma conducir calor calidad cocción excelente,5 stars,0.4938841164112091
44,4,9,5,"Muy resistente, la mochila es perfecta para viajar. La he usado en la lluvia y el material repelente al agua funcionó de maravilla. El espacio interno es muy amplio y me permite llevar todo lo que necesito. Las correas son muy cómodas.",2024-07-02,resistente mochila perfecto viajar usar lluvia material repelente agua funcionar maravilla espacio interno amplio permitir necesitar correa cómodo,5 stars,0.6830182075500488
45,5,1,5,"La laptop es una bestia, rinde muy bien con juegos pesados y con software de edición de video. No he tenido ningún problema de sobrecalentamiento gracias al sistema de enfriamiento. La pantalla de alta tasa de refresco hace una gran diferencia en la fluidez.",2024-07-03,laptop bestia rendir juego pesado software edición video problema sobrecalentamiento gracias sistema enfriamiento pantalla alto tasa refresco diferencia fluidez,2 stars,0.3352809250354767
46,6,3,4,"Buen sonido, pero el micrófono no es tan claro en las llamadas. Las personas me dicen que mi voz suena un poco apagada. Aún así, para escuchar música son excelentes. La batería dura mucho y la conexión Bluetooth es muy estable.",2024-07-04,sonido micrófono llamada persona voz sonar apagado escuchar música excelente batería duro conexión bluetooth estable,5 stars,0.4796740412712097
47,7,5,3,"Las zapatillas no son muy bonitas y la calidad del material no se siente premium. Son funcionales para el gimnasio, pero no para un uso casual. La suela es muy fina y no ofrece mucho soporte. No las volvería a comprar.",2024-07-05,zapatilla bonito calidad material sentir premium funcional gimnasio casual suela fino ofrecer soporte volver comprar,4 stars,0.41211992502212524
48,8,7,5,"Gran calidad y diseño, las ollas se ven muy elegantes. El acabado es impecable y la distribución del calor es perfecta. Es un set que durará por muchos años. Estoy muy contenta con la compra y las recomiendo a todos.",2024-07-06,calidad diseño olla ver elegante acabado impecable distribución calor perfecto set durar año contentar compra recomeir,5 stars,0.6530594229698181
49,9,1,4,"La batería dura poco, pero por el precio está bien. La laptop es muy potente y cumple con todas mis necesidades, pero debo llevar el cargador a todos lados. Es muy ligera y el rendimiento es increíble.",2024-07-07,batería duro precio laptop potente cumplir necesidad deber cargador lado ligero rendimiento increíble,5 stars,0.6612579822540283
50,10,2,5,"El mejor teléfono que he tenido, la pantalla es una maravilla. Los colores son vibrantes y los negros son profundos. La cámara es increíble, saca fotos muy nítidas. La interfaz de usuario es intuitiva y el rendimiento es muy rápido.",2024-07-08,teléfono pantalla maravilla color vibrante negro profundo cámara increíble sacar foto nítida interfaz usuario intuitivo rendimiento rápido,5 stars,0.8473343849182129
51,11,4,3,"Se encogió un poco después de la primera lavada, a pesar de seguir las instrucciones. Ya no me queda bien, lo cual es una lástima. El material es suave, pero la calidad del tejido no es la mejor. Esperaba más por el precio.",2024-07-09,encoger lavada seguir instrucción quedar lástima material suave calidad tejido esperar precio,3 stars,0.3166680932044983
52,12,6,4,"Me gustó la historia, pero el ritmo es un poco lento. La trama avanza muy lentamente y me costó mantener el interés. El final, sin embargo, es gratificante y los personajes son entrañables. Es una lectura entretenida.",2024-07-10,gustar historia ritmo lento trama avanza lentamente costar mantener interés gratificante personaje entrañabl lectura entretenida,3 stars,0.5092216730117798
53,13,8,5,"Excelente balón, la textura es muy buena y el control que tengo sobre él es superior. Es perfecto para practicar pases y tiros. Lo recomiendo a cualquier jugador serio. La durabilidad es increíble, no se ha desgastado.",2024-07-11,excelente balón textura control superior perfecto practicar pase tiro recomeir jugador serio durabilidad increíble desgastar,5 stars,0.5989134311676025
54,14,10,5,"La cámara graba con una calidad asombrosa. Me ha permitido capturar mis aventuras en una resolución increíble. Es fácil de usar y la pantalla táctil es muy sensible. La batería dura mucho, lo cual es genial.",2024-07-12,cámara grar calidad asombroso permitir capturar aventura resolución increíble fácil pantalla táctil sensible batería duro genial,5 stars,0.7157334685325623
55,15,1,5,La laptop es un monstruo de rendimiento. Es capaz de manejar cualquier software de diseño y renderizado sin problemas. La pantalla de alta tasa de refresco hace una gran diferencia. El sistema de enfriamiento es muy eficiente.,2024-07-13,laptop monstruo rendimiento capaz manejar software diseño renderizado problema pantalla alto tasa refresco diferencia sistema enfriamiento eficiente,4 stars,0.3835270404815674
56,16,3,4,"El sonido es nítido, pero son un poco pesados. Los auriculares me aprietan un poco después de un par de horas de uso. Deberían haber sido más ligeros para la comodidad. La calidad de audio es excelente, pero la comodidad no es la mejor.",2024-07-14,sonido nítido pesado auricular apretar par hora deber ligero comodidad calidad audio excelente comodidad,4 stars,0.37925752997398376
57,17,5,4,"Cómodos y duraderos para el uso diario. Son lo suficientemente versátiles para ir al gimnasio o para salir. La suela es resistente y no se desgasta fácilmente. Son un buen calzado para el día a día, aunque no son los más elegantes.",2024-07-15,cómodo duradero diario suficientemente versátil gimnasio salir suela resistente desgastar fácilmente calzado elegante,4 stars,0.5004873871803284
58,18,7,5,"Muy contenta, las ollas son de una calidad superior. El set incluye todos los tamaños que necesito y son perfectas para cualquier tipo de cocción. El acabado es impecable y se ven muy duraderas.",2024-07-16,contentar olla calidad superior set incluir tamaño necesitar perfecto tipo cocción acabado impecable ver duradero,4 stars,0.43931248784065247
59,19,9,5,"La mochila es perfecta para el trabajo y los viajes cortos. Cabe mi laptop, mis documentos y algunas cosas más sin problemas. El diseño es muy elegante y el material es resistente. Las correas son muy cómodas y ajustables.",2024-07-17,mochilo perfecto trabajo viaje corto caber laptop documento cosa problema diseño elegante material resistente correa cómodo ajustabl,5 stars,0.47763434052467346
60,20,1,5,"La laptop es increíblemente rápida y fluida. La uso para trabajar y para jugar, y en ambos casos el rendimiento es impecable. El teclado es muy cómodo y la pantalla es de alta resolución.",2024-07-18,laptop increíblemente rápido fluido trabajar jugar caso rendimiento impecable teclado cómodo pantalla alto resolución,5 stars,0.627514123916626
61,1,4,4,"Es una camiseta muy ligera y fresca, perfecta para el verano. La tela es suave y se siente muy bien en la piel. Me gusta que no se arruga fácilmente. El color no se desvanece con los lavados.",2024-07-19,camiseta ligero fresca perfecto verano tela suave sentir piel gustar arrugar fácilmente color desvanecir lavado,5 stars,0.5401894450187683
62,2,6,3,"No me enganchó la historia, el estilo de escritura no es para mí. La trama es confusa y me costó mucho seguir el hilo. No la recomendaría a un amigo. El final es decepcionante.",2024-07-20,enganchar historia estilo escritura trama confuso costar seguir hilo recomendar amigo decepcionante,2 stars,0.39525657892227173
63,3,8,4,"Buen balón, pero el diseño no es tan atractivo como en la foto. Aun así, el rendimiento es muy bueno y la durabilidad parece ser alta. La válvula no pierde aire y el agarre es muy bueno.",2024-07-21,balón diseño atractivo foto rendimiento durabilidad alto válvula perder aire agarre,4 stars,0.38156333565711975
64,4,10,5,"La cámara es muy fácil de usar, incluso para principiantes. La calidad de video y fotos es excelente, perfecta para mis viajes. La batería dura mucho, lo cual es genial. La conexión WiFi es muy rápida.",2024-07-22,cámara fácil principiant calidad video foto excelente perfecto viaje batería duro genial conexión wifi rápido,5 stars,0.7286766767501831
65,5,2,5,Me encanta el Smartphone Nexus. Todo funciona perfectamente y la pantalla es de una calidad impresionante. Es un teléfono que recomendaría a cualquier persona que busque un dispositivo premium. La cámara es increíble.,2024-07-23,encantar smartphone nexus funcionar perfectamente pantalla calidad impresionante teléfono recomendar persona buscar dispositivo premium cámara increíble,5 stars,0.8816689252853394
66,6,4,5,La mejor camiseta para hacer deporte. No retiene el sudor y se seca muy rápido. La uso en el gimnasio y es perfecta para mis entrenamientos intensos. El material es muy suave y resistente.,2024-07-24,camiseta deporte retener sudor secar rápido gimnasio perfecto entrenamiento intenso material suave resistente,5 stars,0.6275143623352051
67,7,6,4,"Una lectura entretenida. El libro me mantuvo interesado, aunque no es la mejor novela de ficción que he leído. Es un buen pasatiempo si buscas algo ligero y fácil de leer. La trama es interesante.",2024-07-25,lectura entretenida libro mantener interesado novela ficción leer pasatiempo busca ligero fácil leer trama interesante,4 stars,0.4540441930294037
68,8,8,5,"La mejor inversión para mis entrenamientos. Este balón tiene un gran agarre y se siente muy bien. La durabilidad es increíble, no ha perdido su forma ni su rebote. Lo recomiendo para cualquier jugador.",2024-07-26,inversión entrenamiento balón agarre sentir durabilidad increíble perder forma rebote recomeir jugador,1 star,0.3813881278038025
69,9,10,3,"La cámara se calienta mucho cuando la uso para grabar videos largos. A veces se apaga sola, lo cual es frustrante. La calidad de imagen es buena, pero el sobrecalentamiento es un problema grave. El soporte técnico no fue de ayuda.",2024-07-27,cámara calentar grabar video largo apagar frustrante calidad imagen sobrecalentamiento problema grave soporte técnico ayuda,1 star,0.44475510716438293
70,10,1,5,"El rendimiento de esta laptop es sobresaliente. No se queda corta con nada, y puedo ejecutar múltiples programas pesados al mismo tiempo sin problemas. La pantalla de alta resolución y el teclado cómodo son un gran plus.",2024-07-28,rendimiento laptop sobresaliente quedar corto ejecutar múltiple programa pesado tiempo problema pantalla alto resolución teclado cómodo plus,4 stars,0.36528894305229187
71,11,2,5,"El teléfono es lo máximo. La cámara es una maravilla, saca fotos muy nítidas y la pantalla es increíble. La batería dura todo el día y la carga es muy rápida. Es el mejor teléfono que he tenido.",2024-07-29,teléfono máximo cámara maravilla sacar foto nítida pantalla increíble batería duro carga rápido teléfono,5 stars,0.8907135128974915
72,12,4,4,"Un buen básico para el armario. La camiseta cumple con lo que promete: es cómoda, el color no se desvanece y la talla es la adecuada. Ideal para el uso diario. El material es de buena calidad.",2024-07-30,básico armario camiseta cumplir prometer cómoda color desvanecir talla adecuado ideal diario material calidad,4 stars,0.4244665205478668
73,13,6,4,"Es un libro muy interesante, pero el final me dejó un poco insatisfecho. Los personajes son fuertes, pero el desenlace pudo ser mejor. Aun así, la trama es original y el estilo de escritura es bueno.",2024-07-31,libro interesante insatisfecho personaje fuerte desenlace trama original estilo escritura,2 stars,0.3762678802013397
74,14,8,5,"El balón es muy ligero y fácil de controlar, ideal para practicar mis habilidades. La superficie texturizada me da un gran control del balón en cualquier condición climática. La durabilidad es excelente.",2024-08-01,balón ligero fácil controlar ideal practicar habilidad superficie texturizado control balón condición climático durabilidad excelente,5 stars,0.5892298817634583
